planSource,curated_type,notes,source_type,volume_Mgal,operator_clean,dep_score,dep_src,dep_type
Renick,,,ambiguous,0.01,pennenergy resources,53.3333333333,DIKEN INC,groundwater
Forwarded Freshwater,,,ambiguous,0.01,eqt chap,66.6666666667,HIERONIMUS#2 FRESHWATER IMPOUNDMENT,surface_water
Giangrieco,,,ambiguous,0,bkv opr,50,WI GARAGE INTC,interconnection
HILLEGAS PROPERTY (775481),,,ambiguous,0,inflection energy,57.1428571429,HOWARD PROPERTY POND,surface_water
Frystak,,,ambiguous,0,bkv opr,63.1578947368,CRYSTAL LAKE,surface_water
ULTIMATE WARRIOR (752596),,,ambiguous,0,inflection energy,50,ERIE WATER AUTH INTC 2,interconnection
Argo,,,ambiguous,0,em energy pa,60,WI GARAGE INTC,interconnection
Mazzara,,,ambiguous,0,bkv opr,46.1538461538,WI GARAGE INTC,interconnection
Kile,,,ambiguous,0,bkv opr,61.5384615385,KILN WELL,groundwater
Mattocks,,,ambiguous,0,bkv opr,52.1739130435,MATTOS SPRING 1,surface_water
Mirabelli,,,ambiguous,0,bkv opr,60,MURRAY WELL,groundwater
6. Forwarded,,,ambiguous,0,eqt chap,56,WELL-ORCHARD 5,groundwater
COSTELLO PROPERTY (781014),,,ambiguous,0,inflection energy,57.1428571429,HOWARD PROPERTY POND,surface_water
Plushanski,,,ambiguous,0,bkv opr,48.275862069,PINE CREEK - WELSHANS,surface_water
Ricci,,,ambiguous,0,bkv opr,44.4444444444,LICKING CREEK,surface_water
Ruark East,,,ambiguous,0,bkv opr,76.1904761905,EAST QUARRY,groundwater
Blaisure Jean P1,,,ambiguous,0,coterra energy,56,BLUE/EAST,groundwater
See attached,,,ambiguous,0,chesapeake appalachia,58.064516129,BARRETT DEEP (CAPPED),groundwater
See original Completion Report Submitted on 11/07/2024 for details,,,ambiguous,0,coterra energy,57.1428571429,PW-11,groundwater
--,,,ambiguous,0,range resources appalachia,0,BUFFALO CREEK @ FORNEY,surface_water
Yarasavage,,,ambiguous,0,bkv opr,62.5,WI GARAGE INTC,interconnection
